challenge_type,difficulty,content
POLL,2,<player> asks everyone to vote on the most likely to win an Oscar.
POLL,2,<player> should poll the group on the best dancer.
POLL,2,<player> asks the group who is the most likely to become a billionaire.
TRIVIA,1,<player> must answer a question about geography.
TRIVIA,1,<player> must answer a question about history.
TRIVIA,1,<player> must answer a question about science.
TRIVIA,1,<player> must answer a question about sports.
TRIVIA,1,<player> must answer a question about movies.
TRIVIA,1,<player> must answer a question about music.
TRIVIA,1,<player> must answer a question about literature.
TRIVIA,1,<player> must answer a question about pop culture.
TRIVIA,1,<player> must answer a question about technology.
TRIVIA,1,<player> must answer a question about art.
TRIVIA,2,<player> must answer a difficult question about history.
TRIVIA,2,<player> must answer a difficult question about science.
TRIVIA,2,<player> must answer a difficult question about sports.
TRIVIA,2,<player> must answer a difficult question about movies.
TRIVIA,2,<player> must answer a difficult question about music.
TRIVIA,2,<player> must answer a difficult question about literature.
TRIVIA,2,<player> must answer a difficult question about pop culture.
TRIVIA,2,<player> must answer a difficult question about technology.
TRIVIA,2,<player> must answer a difficult question about art.
TRIVIA,2,<player> must answer a difficult question about geography.
BETRAYAL,1,<player> must decide which player has to skip their next turn.
BETRAYAL,1,<player> must force another player to reveal their TRUTH or DARE choice before picking their own.
BETRAYAL,1,<player> must swap a challenge with another player.
BETRAYAL,1,<player> must choose one player to lose all their points.
BETRAYAL,1,<player> must steal a challenge from another player.
BETRAYAL,1,<player> has to make another player take a shot or lose a turn.
BETRAYAL,1,<player> must choose a player to do an extra challenge.
BETRAYAL,1,<player> has to swap seats with another player.
BETRAYAL,1,<player> must make another player switch their challenge with someone else.
BETRAYAL,1,<player> must take another player's turn.
BETRAYAL,2,<player> must force another player to lose their points for this round.
BETRAYAL,2,<player> must choose a player to reveal all their secrets.
BETRAYAL,2,<player> must make another player take an additional DARE.
BETRAYAL,2,<player> has to make another player lose their turn.
BETRAYAL,2,<player> must swap a challenge with another player, causing them to do it instead.
BETRAYAL,2,<player> must force a player to take a penalty or lose their turn.
BETRAYAL,2,<player> must betray another player by making them reveal their biggest secret.
BETRAYAL,2,<player> must take away a player’s challenge and give it to someone else.
BETRAYAL,2,<player> must choose a player to miss their next turn.
BETRAYAL,2,<player> has to switch roles with another player for the next round.
